fullname,Level of Maternity Care,fipscode
Santa Barbara,Access to Maternity Care,6083
Santa Clara,Access to Maternity Care,6085
Santa Cruz,Access to Maternity Care,6087
Shasta,Access to Maternity Care,6089
Sierra,Maternity Care Desert,6091
Siskiyou,Access to Maternity Care,6093
Solano,Access to Maternity Care,6095
Sonoma,Access to Maternity Care,6097
Stanislaus,Access to Maternity Care,6099
Sutter,Access to Maternity Care,6101
Tehama,Moderate Access to Care,6103
Trinity,Access to Maternity Care,6105
Tulare,Access to Maternity Care,6107
Tuolumne,Access to Maternity Care,6109
Ventura,Access to Maternity Care,6111
Yolo,Access to Maternity Care,6113
Yuba,Moderate Access to Care,6115
Adams,Access to Maternity Care,8001
Alamosa,Access to Maternity Care,8003
Arapahoe,Access to Maternity Care,8005
Archuleta,Maternity Care Desert,8007
Baca,Maternity Care Desert,8009
Bent,Maternity Care Desert,8011
Boulder,Access to Maternity Care,8013
Broomfield,Access to Maternity Care,8014
Chaffee,Access to Maternity Care,8015
Cheyenne,Maternity Care Desert,8017
Clear Creek,Maternity Care Desert,8019
Conejos,Access to Maternity Care,8021
Costilla,Maternity Care Desert,8023
Crowley,Maternity Care Desert,8025
Custer,Maternity Care Desert,8027
Delta,Low Access to Care,8029
Denver,Access to Maternity Care,8031
Dolores,Maternity Care Desert,8033
Douglas,Access to Maternity Care,8035
Eagle,Access to Maternity Care,8037
Elbert,Moderate Access to Care,8039
El Paso,Access to Maternity Care,8041
Fremont,Moderate Access to Care,8043
Garfield,Access to Maternity Care,8045
Gilpin,Access to Maternity Care,8047
Grand,Maternity Care Desert,8049
Gunnison,Access to Maternity Care,8051
Hinsdale,Maternity Care Desert,8053
Huerfano,Maternity Care Desert,8055
Jackson,Maternity Care Desert,8057
Jefferson,Access to Maternity Care,8059
Kiowa,Maternity Care Desert,8061
Kit Carson,Maternity Care Desert,8063
Lake,Maternity Care Desert,8065
La Plata,Access to Maternity Care,8067
Larimer,Access to Maternity Care,8069
Las Animas,Access to Maternity Care,8071
Lincoln,Maternity Care Desert,8073
Logan,Access to Maternity Care,8075
Mesa,Access to Maternity Care,8077
Mineral,Maternity Care Desert,8079
Moffat,Maternity Care Desert,8081
Montezuma,Access to Maternity Care,8083
Montrose,Access to Maternity Care,8085
Morgan,Access to Maternity Care,8087
Otero,Low Access to Care,8089
Ouray,Maternity Care Desert,8091
Park,Access to Maternity Care,8093
Phillips,Maternity Care Desert,8095
Pitkin,Access to Maternity Care,8097
Prowers,Access to Maternity Care,8099
Rio Blanco,Maternity Care Desert,8103
Rio Grande,Access to Maternity Care,8105
Routt,Access to Maternity Care,8107
Saguache,Maternity Care Desert,8109
San Juan,Maternity Care Desert,8111
San Miguel,Access to Maternity Care,8113
Sedgwick,Low Access to Care,8115
Summit,Access to Maternity Care,8117
Teller,Access to Maternity Care,8119
Washington,Maternity Care Desert,8121
Weld,Access to Maternity Care,8123
Yuma,Low Access to Care,8125
Fairfield,Access to Maternity Care,9001
Hartford,Access to Maternity Care,9003
Litchfield,Access to Maternity Care,9005
Middlesex,Access to Maternity Care,9007
New Haven,Access to Maternity Care,9009
New London,Access to Maternity Care,9011
Tolland,Access to Maternity Care,9013
Windham,Access to Maternity Care,9015
Kent,Access to Maternity Care,10001
New Castle,Access to Maternity Care,10003
Sussex,Access to Maternity Care,10005
Alachua,Access to Maternity Care,12001
Baker,Low Access to Care,12003
Bay,Access to Maternity Care,12005
Bradford,Low Access to Care,12007
Brevard,Access to Maternity Care,12009
Broward,Access to Maternity Care,12011
Calhoun,Maternity Care Desert,12013
Charlotte,Access to Maternity Care,12015
Citrus,Access to Maternity Care,12017
Clay,Access to Maternity Care,12019
Collier,Access to Maternity Care,12021
Columbia,Access to Maternity Care,12023
De Soto,Low Access to Care,12027
Dixie,Maternity Care Desert,12029
Duval,Access to Maternity Care,12031
Escambia,Access to Maternity Care,12033
Flagler,Low Access to Care,12035
Franklin,Maternity Care Desert,12037
Gadsden,Low Access to Care,12039
Gilchrist,Maternity Care Desert,12041
Glades,Access to Maternity Care,12043
Gulf,Maternity Care Desert,12045
Hamilton,Access to Maternity Care,12047
Hardee,Maternity Care Desert,12049
Hendry,Maternity Care Desert,12051
Hernando,Access to Maternity Care,12053
Highlands,Access to Maternity Care,12055
Hillsborough,Access to Maternity Care,12057
Holmes,Low Access to Care,12059
Indian River,Access to Maternity Care,12061
Jackson,Access to Maternity Care,12063
Jefferson,Maternity Care Desert,12065
Lafayette,Maternity Care Desert,12067
Lake,Access to Maternity Care,12069
Lee,Access to Maternity Care,12071
Leon,Access to Maternity Care,12073
Levy,Low Access to Care,12075
Liberty,Maternity Care Desert,12077
Madison,Low Access to Care,12079
Manatee,Access to Maternity Care,12081
Marion,Access to Maternity Care,12083
Martin,Access to Maternity Care,12085
Miami-Dade county,Access to Maternity Care,12086
Monroe,Access to Maternity Care,12087
Nassau,Access to Maternity Care,12089
Okaloosa,Access to Maternity Care,12091
Okeechobee,Low Access to Care,12093
Orange,Access to Maternity Care,12095
Osceola,Access to Maternity Care,12097
Palm Beach,Access to Maternity Care,12099
Pasco,Access to Maternity Care,12101
Pinellas,Access to Maternity Care,12103
Polk,Access to Maternity Care,12105
Putnam,Low Access to Care,12107
St Johns,Access to Maternity Care,12109
St Lucie,Access to Maternity Care,12111
Santa Rosa,Low Access to Care,12113
Sarasota,Access to Maternity Care,12115
Seminole,Access to Maternity Care,12117
Sumter,Access to Maternity Care,12119
Suwannee,Low Access to Care,12121
Taylor,Maternity Care Desert,12123
Union,Maternity Care Desert,12125
Volusia,Access to Maternity Care,12127
Wakulla,Access to Maternity Care,12129
Walton,Access to Maternity Care,12131
Washington,Access to Maternity Care,12133
Appling,Low Access to Care,13001
Atkinson,Maternity Care Desert,13003
Bacon,Access to Maternity Care,13005
Baker,Maternity Care Desert,13007
Baldwin,Access to Maternity Care,13009
Banks,Maternity Care Desert,13011
Barrow,Low Access to Care,13013
Bartow,Access to Maternity Care,13015
Ben Hill,Maternity Care Desert,13017
Berrien,Maternity Care Desert,13019
Bibb,Access to Maternity Care,13021
Bleckley,Access to Maternity Care,13023
Brantley,Maternity Care Desert,13025
Brooks,Maternity Care Desert,13027
Bryan,Access to Maternity Care,13029
Bulloch,Access to Maternity Care,13031
Burke,Maternity Care Desert,13033
Butts,Low Access to Care,13035
Calhoun,Maternity Care Desert,13037
Camden,Access to Maternity Care,13039
Candler,Maternity Care Desert,13043
Carroll,Access to Maternity Care,13045
Catoosa,Access to Maternity Care,13047
Charlton,Maternity Care Desert,13049
Chatham,Access to Maternity Care,13051
Chattahoochee,Low Access to Care,13053
Chattooga,Low Access to Care,13055
Cherokee,Access to Maternity Care,13057
Clarke,Access to Maternity Care,13059
Clay,Maternity Care Desert,13061
Clayton,Low Access to Care,13063
Clinch,Access to Maternity Care,13065
Cobb,Access to Maternity Care,13067
Coffee,Access to Maternity Care,13069
Colquitt,Access to Maternity Care,13071
Columbia,Access to Maternity Care,13073
Cook,Low Access to Care,13075
Coweta,Access to Maternity Care,13077
Crawford,Maternity Care Desert,13079
Crisp,Access to Maternity Care,13081
Dade,Maternity Care Desert,13083
Dawson,Access to Maternity Care,13085
Decatur,Low Access to Care,13087
De Kalb,Access to Maternity Care,13089
Dodge,Access to Maternity Care,13091
Dooly,Maternity Care Desert,13093
Dougherty,Access to Maternity Care,13095
Douglas,Access to Maternity Care,13097
Early,Maternity Care Desert,13099
Echols,Maternity Care Desert,13101
Effingham,Low Access to Care,13103
Elbert,Maternity Care Desert,13105
Emanuel,Low Access to Care,13107
Evans,Maternity Care Desert,13109
Fannin,Access to Maternity Care,13111
Fayette,Access to Maternity Care,13113
Floyd,Access to Maternity Care,13115
Forsyth,Access to Maternity Care,13117
Franklin,Access to Maternity Care,13119
Fulton,Access to Maternity Care,13121
Gilmer,Access to Maternity Care,13123
Glascock,Maternity Care Desert,13125
Glynn,Access to Maternity Care,13127
Gordon,Access to Maternity Care,13129
Grady,Access to Maternity Care,13131
Greene,Maternity Care Desert,13133
Gwinnett,Access to Maternity Care,13135
Habersham,Access to Maternity Care,13137
Hall,Access to Maternity Care,13139
Hancock,Maternity Care Desert,13141
Haralson,Low Access to Care,13143
Harris,Access to Maternity Care,13145
Hart,Access to Maternity Care,13147
Heard,Maternity Care Desert,13149
Henry,Access to Maternity Care,13151
Houston,Access to Maternity Care,13153
Irwin,Maternity Care Desert,13155
Jackson,Access to Maternity Care,13157
Jasper,Access to Maternity Care,13159
Jeff Davis,Maternity Care Desert,13161
Jefferson,Maternity Care Desert,13163
Jenkins,Maternity Care Desert,13165
Johnson,Maternity Care Desert,13167
Jones,Access to Maternity Care,13169
Lamar,Maternity Care Desert,13171
Lanier,Maternity Care Desert,13173
Laurens,Access to Maternity Care,13175
Lee,Access to Maternity Care,13177
Liberty,Low Access to Care,13179
Lincoln,Maternity Care Desert,13181
Long,Maternity Care Desert,13183
Lowndes,Access to Maternity Care,13185
Lumpkin,Access to Maternity Care,13187
McDuffie,Maternity Care Desert,13189
McIntosh,Maternity Care Desert,13191
Macon,Maternity Care Desert,13193
Madison,Low Access to Care,13195
Marion,Maternity Care Desert,13197
Meriwether,Low Access to Care,13199
Miller,Access to Maternity Care,13201
Mitchell,Maternity Care Desert,13205
Monroe,Access to Maternity Care,13207
Montgomery,Maternity Care Desert,13209
Morgan,Low Access to Care,13211
Murray,Low Access to Care,13213
Muscogee,Access to Maternity Care,13215
Newton,Low Access to Care,13217
Oconee,Access to Maternity Care,13219
Oglethorpe,Maternity Care Desert,13221
Paulding,Low Access to Care,13223
Peach,Low Access to Care,13225
Pickens,Access to Maternity Care,13227
Pierce,Low Access to Care,13229
Pike,Access to Maternity Care,13231
Polk,Maternity Care Desert,13233
Pulaski,Access to Maternity Care,13235
Putnam,Low Access to Care,13237
Quitman,Maternity Care Desert,13239
Rabun,Access to Maternity Care,13241
Randolph,Maternity Care Desert,13243
Richmond,Access to Maternity Care,13245
Rockdale,Access to Maternity Care,13247
Schley,Maternity Care Desert,13249
Screven,Maternity Care Desert,13251
Seminole,Access to Maternity Care,13253
Spalding,Low Access to Care,13255
Stephens,Access to Maternity Care,13257
Stewart,Maternity Care Desert,13259
Sumter,Access to Maternity Care,13261
Talbot,Access to Maternity Care,13263
Taliaferro,Maternity Care Desert,13265
Tattnall,Low Access to Care,13267
Taylor,Maternity Care Desert,13269
Telfair,Maternity Care Desert,13271
Terrell,Access to Maternity Care,13273
Thomas,Access to Maternity Care,13275
Tift,Access to Maternity Care,13277
Toombs,Access to Maternity Care,13279
Towns,Maternity Care Desert,13281
Treutlen,Maternity Care Desert,13283
Troup,Low Access to Care,13285
Turner,Access to Maternity Care,13287
Twiggs,Maternity Care Desert,13289
Union,Access to Maternity Care,13291
Upson,Access to Maternity Care,13293
Walker,Low Access to Care,13295
Walton,Low Access to Care,13297
Ware,Low Access to Care,13299
Warren,Maternity Care Desert,13301
Washington,Access to Maternity Care,13303
Wayne,Low Access to Care,13305
Webster,Access to Maternity Care,13307
Wheeler,Maternity Care Desert,13309
White,Access to Maternity Care,13311
Whitfield,Access to Maternity Care,13313
Wilcox,Maternity Care Desert,13315
Wilkes,Maternity Care Desert,13317
Wilkinson,Maternity Care Desert,13319
Worth,Low Access to Care,13321
Hawaii,Access to Maternity Care,15001
Honolulu,Access to Maternity Care,15003
Kalawao,Maternity Care Desert,15005
Kauai,Access to Maternity Care,15007
Maui,Access to Maternity Care,15009
Adair,Maternity Care Desert,19001
Adams,Maternity Care Desert,19003
Allamakee,Moderate Access to Care,19005
Appanoose,Maternity Care Desert,19007
Audubon,Maternity Care Desert,19009
Benton,Maternity Care Desert,19011
Black Hawk,Access to Maternity Care,19013
Boone,Access to Maternity Care,19015
Bremer,Access to Maternity Care,19017
Buchanan,Maternity Care Desert,19019
Buena Vista,Moderate Access to Care,19021
Butler,Access to Maternity Care,19023
Calhoun,Moderate Access to Care,19025
Carroll,Moderate Access to Care,19027
Cass,Access to Maternity Care,19029
Cedar,Maternity Care Desert,19031
Cerro Gordo,Access to Maternity Care,19033
Cherokee,Moderate Access to Care,19035
Chickasaw,Moderate Access to Care,19037
Clarke,Maternity Care Desert,19039
Clay,Moderate Access to Care,19041
Clayton,Maternity Care Desert,19043
Clinton,Access to Maternity Care,19045
Crawford,Low Access to Care,19047
Dallas,Moderate Access to Care,19049
Davis,Maternity Care Desert,19051
Decatur,Maternity Care Desert,19053
Delaware,Moderate Access to Care,19055
Des Moines,Access to Maternity Care,19057
Dickinson,Moderate Access to Care,19059
Dubuque,Access to Maternity Care,19061
Emmet,Access to Maternity Care,19063
Fayette,Moderate Access to Care,19065
Floyd,Moderate Access to Care,19067
Franklin,Maternity Care Desert,19069
Fremont,Maternity Care Desert,19071
Greene,Access to Maternity Care,19073
Grundy,Maternity Care Desert,19075
Guthrie,Maternity Care Desert,19077
Hamilton,Access to Maternity Care,19079
Hancock,Maternity Care Desert,19081
Hardin,Maternity Care Desert,19083
Harrison,Maternity Care Desert,19085
Henry,Access to Maternity Care,19087
Howard,Moderate Access to Care,19089
Humboldt,Access to Maternity Care,19091
Ida,Maternity Care Desert,19093
Iowa,Maternity Care Desert,19095
Jackson,Maternity Care Desert,19097
Jasper,Moderate Access to Care,19099
Jefferson,Maternity Care Desert,19101
Johnson,Access to Maternity Care,19103
Jones,Maternity Care Desert,19105
Keokuk,Maternity Care Desert,19107
Kossuth,Moderate Access to Care,19109
Lee,Access to Maternity Care,19111
Linn,Access to Maternity Care,19113
Louisa,Maternity Care Desert,19115
Lucas,Maternity Care Desert,19117
Lyon,Maternity Care Desert,19119
Madison,Maternity Care Desert,19121
Mahaska,Access to Maternity Care,19123
Marion,Access to Maternity Care,19125
Marshall,Access to Maternity Care,19127
Mills,Access to Maternity Care,19129
Mitchell,Access to Maternity Care,19131
Monona,Moderate Access to Care,19133
Monroe,Access to Maternity Care,19135
Montgomery,Access to Maternity Care,19137
Muscatine,Moderate Access to Care,19139
O Brien,Moderate Access to Care,19141
Osceola,Maternity Care Desert,19143
Page,Access to Maternity Care,19145
Palo Alto,Moderate Access to Care,19147
Plymouth,Moderate Access to Care,19149
Pocahontas,Maternity Care Desert,19151
Polk,Access to Maternity Care,19153
Pottawattamie,Access to Maternity Care,19155
Poweshiek,Moderate Access to Care,19157
Ringgold,Maternity Care Desert,19159
Sac,Maternity Care Desert,19161
Scott,Access to Maternity Care,19163
Shelby,Moderate Access to Care,19165
Sioux,Access to Maternity Care,19167
Story,Access to Maternity Care,19169
Tama,Moderate Access to Care,19171
Taylor,Access to Maternity Care,19173
Union,Moderate Access to Care,19175
Van Buren,Maternity Care Desert,19177
Wapello,Access to Maternity Care,19179
Warren,Moderate Access to Care,19181
Washington,Moderate Access to Care,19183
Wayne,Moderate Access to Care,19185
Webster,Access to Maternity Care,19187
Winnebago,Maternity Care Desert,19189
Winneshiek,Access to Maternity Care,19191
Woodbury,Access to Maternity Care,19193
Worth,Maternity Care Desert,19195
Wright,Moderate Access to Care,19197
Ada,Access to Maternity Care,16001
Adams,Maternity Care Desert,16003
Bannock,Access to Maternity Care,16005
Bear Lake,Access to Maternity Care,16007
Benewah,Maternity Care Desert,16009
Bingham,Low Access to Care,16011
Blaine,Access to Maternity Care,16013
Boise,Maternity Care Desert,16015
Bonner,Access to Maternity Care,16017
Bonneville,Access to Maternity Care,16019
Boundary,Access to Maternity Care,16021
Butte,Maternity Care Desert,16023
Camas,Maternity Care Desert,16025
Canyon,Access to Maternity Care,16027
Caribou,Access to Maternity Care,16029
Cassia,Low Access to Care,16031
Clark,Maternity Care Desert,16033
Clearwater,Maternity Care Desert,16035
Custer,Maternity Care Desert,16037
Elmore,Low Access to Care,16039
Franklin,Maternity Care Desert,16041
Fremont,Maternity Care Desert,16043
Gem,Low Access to Care,16045
Gooding,Maternity Care Desert,16047
Idaho,Access to Maternity Care,16049
Jefferson,Low Access to Care,16051
Jerome,Low Access to Care,16053
Kootenai,Access to Maternity Care,16055
Latah,Low Access to Care,16057
Lemhi,Access to Maternity Care,16059
Lewis,Maternity Care Desert,16061
Lincoln,Maternity Care Desert,16063
Madison,Low Access to Care,16065
Minidoka,Maternity Care Desert,16067
Nez Perce,Access to Maternity Care,16069
Oneida,Maternity Care Desert,16071
Owyhee,Maternity Care Desert,16073
Payette,Maternity Care Desert,16075
Power,Maternity Care Desert,16077
Shoshone,Maternity Care Desert,16079
Teton,Maternity Care Desert,16081
Twin Falls,Low Access to Care,16083
Valley,Maternity Care Desert,16085
Washington,Low Access to Care,16087
Adams,Access to Maternity Care,17001
Alexander,Maternity Care Desert,17003
Bond,Access to Maternity Care,17005
Boone,Moderate Access to Care,17007
Brown,Maternity Care Desert,17009
Bureau,Access to Maternity Care,17011
Calhoun,Maternity Care Desert,17013
Carroll,Maternity Care Desert,17015
Cass,Maternity Care Desert,17017
Champaign,Access to Maternity Care,17019
Christian,Moderate Access to Care,17021
Clark,Maternity Care Desert,17023
Clay,Maternity Care Desert,17025
Clinton,Access to Maternity Care,17027
Coles,Access to Maternity Care,17029
Cook,Access to Maternity Care,17031
Crawford,Access to Maternity Care,17033
Cumberland,Maternity Care Desert,17035
De Kalb,Access to Maternity Care,17037
De Witt,Moderate Access to Care,17039
Douglas,Low Access to Care,17041
Du Page,Access to Maternity Care,17043
Edgar,Maternity Care Desert,17045
Edwards,Maternity Care Desert,17047
Effingham,Access to Maternity Care,17049
Fayette,Maternity Care Desert,17051
Ford,Moderate Access to Care,17053
Franklin,Maternity Care Desert,17055
Fulton,Access to Maternity Care,17057
Gallatin,Maternity Care Desert,17059
Greene,Access to Maternity Care,17061
Grundy,Access to Maternity Care,17063
Hamilton,Maternity Care Desert,17065
Hancock,Access to Maternity Care,17067
Hardin,Maternity Care Desert,17069
Henderson,Access to Maternity Care,17071
Henry,Access to Maternity Care,17073
Iroquois,Moderate Access to Care,17075
Jackson,Access to Maternity Care,17077
Jasper,Maternity Care Desert,17079
Jefferson,Access to Maternity Care,17081
Jersey,Access to Maternity Care,17083
Jo Daviess,Access to Maternity Care,17085
Johnson,Maternity Care Desert,17087
Kane,Access to Maternity Care,17089
Kankakee,Access to Maternity Care,17091
Kendall,Access to Maternity Care,17093
Knox,Access to Maternity Care,17095
Lake,Access to Maternity Care,17097
La Salle,Access to Maternity Care,17099
Lawrence,Maternity Care Desert,17101
Lee,Access to Maternity Care,17103
Livingston,Moderate Access to Care,17105
Logan,Access to Maternity Care,17107
McDonough,Access to Maternity Care,17109
McHenry,Access to Maternity Care,17111
McLean,Access to Maternity Care,17113
Macon,Access to Maternity Care,17115
Macoupin,Moderate Access to Care,17117
Madison,Access to Maternity Care,17119
Marion,Moderate Access to Care,17121
Marshall,Maternity Care Desert,17123
Mason,Maternity Care Desert,17125
Massac,Maternity Care Desert,17127
Menard,Maternity Care Desert,17129
Mercer,Maternity Care Desert,17131
Monroe,Moderate Access to Care,17133
Montgomery,Moderate Access to Care,17135
Morgan,Access to Maternity Care,17137
Moultrie,Maternity Care Desert,17139
Ogle,Maternity Care Desert,17141
Peoria,Access to Maternity Care,17143
Perry,Moderate Access to Care,17145
Piatt,Maternity Care Desert,17147
Pike,Maternity Care Desert,17149
Pope,Maternity Care Desert,17151
Pulaski,Maternity Care Desert,17153
Putnam,Maternity Care Desert,17155
Randolph,Moderate Access to Care,17157
Richland,Access to Maternity Care,17159
Rock Island,Access to Maternity Care,17161
St Clair,Access to Maternity Care,17163
Saline,Maternity Care Desert,17165
Sangamon,Access to Maternity Care,17167
Schuyler,Maternity Care Desert,17169
Scott,Maternity Care Desert,17171
Shelby,Maternity Care Desert,17173
Stark,Access to Maternity Care,17175
Stephenson,Access to Maternity Care,17177
